card_id,field,locale,old_value,new_value
5905d757-335f-479d-b7fb-7577c2c329f3,display_text,ko,,구
13f81b81-3848-43a0-9a10-d6b8df5e4f92,display_text,ar,,٣
13f81b81-3848-43a0-9a10-d6b8df5e4f92,display_text,hi,,३
13f81b81-3848-43a0-9a10-d6b8df5e4f92,display_text,ja,,三
13f81b81-3848-43a0-9a10-d6b8df5e4f92,display_text,zh,,三
13f81b81-3848-43a0-9a10-d6b8df5e4f92,display_text,ko,,삼
0cbc3ada-1be7-4ba1-ab92-80fbc1eaf8f9,display_text,ar,,٢
0cbc3ada-1be7-4ba1-ab92-80fbc1eaf8f9,display_text,hi,,२
0cbc3ada-1be7-4ba1-ab92-80fbc1eaf8f9,display_text,ja,,二
0cbc3ada-1be7-4ba1-ab92-80fbc1eaf8f9,display_text,zh,,二
0cbc3ada-1be7-4ba1-ab92-80fbc1eaf8f9,display_text,ko,,이
3721078a-3be0-4cf6-9897-b65c20417d4d,display_text,ar,,٥
3721078a-3be0-4cf6-9897-b65c20417d4d,display_text,hi,,५
3721078a-3be0-4cf6-9897-b65c20417d4d,display_text,ja,,五
3721078a-3be0-4cf6-9897-b65c20417d4d,display_text,zh,,五
3721078a-3be0-4cf6-9897-b65c20417d4d,display_text,ko,,오
83a1d415-5b03-423a-84bf-94ba1d868f55,display_text,ar,,١٨
83a1d415-5b03-423a-84bf-94ba1d868f55,display_text,hi,,१८
83a1d415-5b03-423a-84bf-94ba1d868f55,display_text,ja,,十八
83a1d415-5b03-423a-84bf-94ba1d868f55,display_text,zh,,十八
83a1d415-5b03-423a-84bf-94ba1d868f55,display_text,ko,,십팔
2035dd7e-1431-4c88-850c-a93fce4bdb75,display_text,ar,,١٥
2035dd7e-1431-4c88-850c-a93fce4bdb75,display_text,hi,,१५
2035dd7e-1431-4c88-850c-a93fce4bdb75,display_text,ja,,十五
2035dd7e-1431-4c88-850c-a93fce4bdb75,display_text,zh,,十五
2035dd7e-1431-4c88-850c-a93fce4bdb75,display_text,ko,,십오
648791ac-517a-4186-ae74-9b90febed243,display_text,ar,,٠
648791ac-517a-4186-ae74-9b90febed243,display_text,hi,,०
648791ac-517a-4186-ae74-9b90febed243,display_text,ja,,〇
648791ac-517a-4186-ae74-9b90febed243,display_text,zh,,〇
648791ac-517a-4186-ae74-9b90febed243,display_text,ko,,영
