card_id,level,raw_heading,answer,source_url,source_alt,content_type,r2_key,public_url,status
ef21a114-771e-4eaf-bfd1-dd9d0eb30258,3,35. Didgeridoo,Didgeridoo,https://cdn.shopify.com/s/files/1/0050/8644/5642/files/didgeridoo_4a98c32c-d59d-4aa4-b510-8217e96547e1_480x480.jpg?v=1710767796,,image/jpeg,cards/ef21a114-771e-4eaf-bfd1-dd9d0eb30258/global_1776362753221.jpg,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/ef21a114-771e-4eaf-bfd1-dd9d0eb30258/global_1776362753221.jpg,imported
8bae711c-167f-4463-8f10-98c7ccabc682,3,36. Dholak,Dholak,https://cdn.shopify.com/s/files/1/0050/8644/5642/files/indian-dholak-drum_480x480.jpg?v=1702588387,Traditional Indian bhangra dhol dholak drum,image/jpeg,cards/8bae711c-167f-4463-8f10-98c7ccabc682/global_1776362753221.jpg,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/8bae711c-167f-4463-8f10-98c7ccabc682/global_1776362753221.jpg,imported
46f691c5-2029-45fc-b93a-b2eb6d989066,3,38. Mridangam,Mridangam,https://cdn.shopify.com/s/files/1/0050/8644/5642/files/Mridangam_480x480.jpg?v=1631549634,Mridangam,image/jpeg,cards/46f691c5-2029-45fc-b93a-b2eb6d989066/global_1776362753221.jpg,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/46f691c5-2029-45fc-b93a-b2eb6d989066/global_1776362753221.jpg,imported
75e24f97-f87d-41c5-a9a7-62f24c48ac83,3,39. Dhol,Dhol,https://cdn.shopify.com/s/files/1/0050/8644/5642/files/Bhangra-Dhol-Drum-maiun_480x480.jpg?v=1712166222,Traditional Bright Indian Dhol Drum,image/jpeg,cards/75e24f97-f87d-41c5-a9a7-62f24c48ac83/global_1776362753221.jpg,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/75e24f97-f87d-41c5-a9a7-62f24c48ac83/global_1776362753221.jpg,imported
40230b59-73ac-4281-aa34-ac4447c6b768,3,40. Shamanic Drum,Shamanic Drum,https://cdn.shopify.com/s/files/1/0050/8644/5642/files/Shamanic-drum-from-indonesia_480x480.jpg?v=1702588455,Plain medium shamanic drum from Indonesia,image/jpeg,cards/40230b59-73ac-4281-aa34-ac4447c6b768/global_1776362753221.jpg,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/40230b59-73ac-4281-aa34-ac4447c6b768/global_1776362753221.jpg,imported
0eccd7cc-85f1-4b07-bc1e-ad1d92066f18,3,41. Shipibo Shaker,Shipibo Shaker,https://cdn.shopify.com/s/files/1/0050/8644/5642/products/shipiboshakerwithturtledesign_480x480.webp?v=1672183236,shipibo shaker with turtle design,image/jpeg,cards/0eccd7cc-85f1-4b07-bc1e-ad1d92066f18/global_1776362753221.jpg,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/0eccd7cc-85f1-4b07-bc1e-ad1d92066f18/global_1776362753221.jpg,imported
b4acb710-4973-4095-b5df-bf20bd737a04,3,42. Bansuri,Bansuri,https://cdn.shopify.com/s/files/1/0050/8644/5642/files/Bansuri_480x480.jpg?v=1631549024,Bansuri,image/jpeg,cards/b4acb710-4973-4095-b5df-bf20bd737a04/global_1776362753221.jpg,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/b4acb710-4973-4095-b5df-bf20bd737a04/global_1776362753221.jpg,imported
ea53cb59-05c8-47c6-85d4-4a6d61480754,3,46. Shakuhachi,Shakuhachi,https://cdn.shopify.com/s/files/1/0050/8644/5642/files/Shakuhachi_480x480.jpg?v=1631552102,Shakuhachi,image/jpeg,cards/ea53cb59-05c8-47c6-85d4-4a6d61480754/global_1776362753221.jpg,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/ea53cb59-05c8-47c6-85d4-4a6d61480754/global_1776362753221.jpg,imported
f1e8ef02-cd2b-45b7-9763-2b353f956960,3,47. Biwa,Biwa,https://cdn.shopify.com/s/files/1/0050/8644/5642/files/Biwa_480x480.jpg?v=1631552144,Biwa,image/jpeg,cards/f1e8ef02-cd2b-45b7-9763-2b353f956960/global_1776362753221.jpg,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/f1e8ef02-cd2b-45b7-9763-2b353f956960/global_1776362753221.jpg,imported
347eea65-df76-4fd3-9e18-c22268495e28,3,48. Taiko,Taiko,https://cdn.shopify.com/s/files/1/0050/8644/5642/files/Taiko_480x480.jpg?v=1631552227,Taiko,image/jpeg,cards/347eea65-df76-4fd3-9e18-c22268495e28/global_1776362753221.jpg,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/347eea65-df76-4fd3-9e18-c22268495e28/global_1776362753221.jpg,imported
7f9cca34-34df-43b0-8b57-4da5546db6b3,3,50. Vietnamese Lotus Clacker,Vietnamese Lotus Clacker,https://cdn.shopify.com/s/files/1/0050/8644/5642/products/vietnamese-lotus-clacker_480x480.webp?v=1672605899,Unusual lotus clacker from vietnam,image/jpeg,cards/7f9cca34-34df-43b0-8b57-4da5546db6b3/global_1776362753221.jpg,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/7f9cca34-34df-43b0-8b57-4da5546db6b3/global_1776362753221.jpg,imported
9da9a9b3-963d-456f-ac3e-d6b2bbf3bf7a,3,53. Sanshin,Sanshin,https://cdn.shopify.com/s/files/1/0050/8644/5642/files/Sanshin_480x480.jpg?v=1631552293,Sanshin,image/jpeg,cards/9da9a9b3-963d-456f-ac3e-d6b2bbf3bf7a/global_1776362753221.jpg,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/9da9a9b3-963d-456f-ac3e-d6b2bbf3bf7a/global_1776362753221.jpg,imported
,,12. Cha Cha Bracelet,Cha Cha Bracelet,https://cdn.shopify.com/s/files/1/0050/8644/5642/products/7_a1137fa1-e3e2-43e0-a4a9-bcfaff436b0c_480x480.jpg?v=1660564176,Lima nut wrist bracelet,,,,skipped: HTTP Error 404: Not Found
