status,card_id,answer,matched_candidate,source_url,r2_key,public_url,error
updated,10f8ec64-bcc7-496e-9339-c1d4e59e9e83,Bolivia,,,cards/10f8ec64-bcc7-496e-9339-c1d4e59e9e83/global_1776019456754.png,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/10f8ec64-bcc7-496e-9339-c1d4e59e9e83/global_1776019456754.png,
updated,c7eed2be-2c12-48bf-9a9e-b37bd62d2464,Bosnia and Herzegovina,,,cards/c7eed2be-2c12-48bf-9a9e-b37bd62d2464/global_1776019456754.png,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/c7eed2be-2c12-48bf-9a9e-b37bd62d2464/global_1776019456754.png,
updated,42e81212-acad-4ff8-9bc8-2db8cf917cb6,Botswana,,,cards/42e81212-acad-4ff8-9bc8-2db8cf917cb6/global_1776019456754.png,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/42e81212-acad-4ff8-9bc8-2db8cf917cb6/global_1776019456754.png,
updated,6737ecf7-7680-42d4-9056-b9b96b96346d,Brazil,,,cards/6737ecf7-7680-42d4-9056-b9b96b96346d/global_1776019456754.png,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/6737ecf7-7680-42d4-9056-b9b96b96346d/global_1776019456754.png,
updated,6986fe62-a138-42fd-8601-5fb3c70fa09a,Brunei,,,cards/6986fe62-a138-42fd-8601-5fb3c70fa09a/global_1776019456754.png,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/6986fe62-a138-42fd-8601-5fb3c70fa09a/global_1776019456754.png,
updated,7c3a0ad3-80cc-42ff-95f9-5b122e6af6cc,Bulgaria,,,cards/7c3a0ad3-80cc-42ff-95f9-5b122e6af6cc/global_1776019456754.png,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/7c3a0ad3-80cc-42ff-95f9-5b122e6af6cc/global_1776019456754.png,
updated,6aaab6d4-ba54-4bb3-b49c-be17167c8031,Burkina Faso,,,cards/6aaab6d4-ba54-4bb3-b49c-be17167c8031/global_1776019456754.png,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/6aaab6d4-ba54-4bb3-b49c-be17167c8031/global_1776019456754.png,
updated,ba937b30-b99a-4791-83ac-cf2205238716,Burundi,,,cards/ba937b30-b99a-4791-83ac-cf2205238716/global_1776019456754.png,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/ba937b30-b99a-4791-83ac-cf2205238716/global_1776019456754.png,
updated,ad5c1722-a275-4a63-8a08-6b5528d1d95a,Cambodia,,,cards/ad5c1722-a275-4a63-8a08-6b5528d1d95a/global_1776019456754.png,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/ad5c1722-a275-4a63-8a08-6b5528d1d95a/global_1776019456754.png,
updated,071a9584-bd2d-43d1-a7b0-d720460f11af,Cameroon,,,cards/071a9584-bd2d-43d1-a7b0-d720460f11af/global_1776019456754.png,https://aliolo.com/storage/v1/object/public/aliolo-media/cards/071a9584-bd2d-43d1-a7b0-d720460f11af/global_1776019456754.png,
